[2023-01-25 15:48:41] - [DEBUG] starting point: 0 | end point: 8706 | fps: 30 | frame: 8706 | cnt: 0
[2023-01-25 15:49:01] - [DEBUG] cnt: 4290 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:01] - [DEBUG] cnt: 4320 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:01] - [DEBUG] cnt: 4350 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:01] - [DEBUG] cnt: 4380 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:01] - [DEBUG] cnt: 4410 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4440 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4470 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4500 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4530 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4560 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4590 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:02] - [DEBUG] cnt: 4620 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4650 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4680 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4710 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4740 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4770 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4800 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4830 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:03] - [DEBUG] cnt: 4860 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 4890 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 4920 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 4950 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 4980 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 5010 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 5040 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:04] - [DEBUG] cnt: 5070 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5100 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5130 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5160 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5190 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5220 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5250 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:05] - [DEBUG] cnt: 5280 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5310 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5340 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5370 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5400 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5430 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5460 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5490 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:06] - [DEBUG] cnt: 5520 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5550 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5580 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5610 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5640 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5670 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5700 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:07] - [DEBUG] cnt: 5730 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
